,0
350,0.2149577
351,0.3103529
352,0.1655424
353,0.1068946
354,0.1103618
355,0.1652894
356,0.2670707
357,0.1716814
358,0.2093166
359,0.07489479
360,0.05772004
361,0.1627114
362,0.05917321
363,0.2135148
364,0.2581404
365,0.1025742
366,-0.02719188
367,0.2117601
368,0.1459437
369,0.1510384
370,0.2634684
371,0.1639929
372,0.06694264
373,0.2644308
374,-0.1530237
375,0.2863249
376,0.2464681
377,0.2565261
378,0.2560012
379,0.2911167
380,0.01671709
381,0.2531792
382,0.1328905
383,0.07218718
384,0.2935721
385,0.2614491
386,0.1517694
387,0.36221
388,0.2826525
389,0.506467
390,0.1333691
391,0.4478369
392,-0.01468695
393,0.1438872
394,0.4507604
395,0.2175988
396,0.2051437
397,0.1856461
398,0.04852197
399,0.04243415
400,0.1986497
401,0.10385
402,0.2485341
403,0.1434646
404,0.2867043
405,0.02754191
406,0.21244
407,0.3813638
408,0.1692204
409,0.1835838
410,0.1420801
411,0.1560978
412,0.1267775
413,-0.1438408
414,0.3507584
415,0.0002164499
416,0.2588243
417,0.301516
418,0.1208906
419,0.04759788
420,0.1780087
421,0.1224359
422,-0.121324
423,0.09333259
424,-0.08431482
425,0.3030662
426,0.0432736
427,-0.08429444
428,0.1767308
429,0.1737934
430,0.522143
431,0.2470648
432,0.08638058
433,0.253204
434,0.2299996
435,0.3011398
436,0.1287594
437,0.05127538
438,0.106129
439,0.1678651
440,0.2624783
441,0.4534203
442,0.3852631
443,0.24654
444,-0.02542589
445,0.1822784
446,0.2846577
447,0.0783567
448,0.3683805
449,0.3662355
450,0.2099776
451,0.2143461
452,0.3914804
453,0.201283
454,0.1316781
455,0.4419256
456,0.3888745
457,0.1448031
458,0.007911266
459,0.2026953
460,0.3377748
461,0.3371677
462,0.3439021
463,0.1637384
464,0.3079593
465,0.006625596
466,0.0780459
467,0.04783573
468,0.2531012
469,0.3202041
470,0.1402946
471,0.1321165
472,0.2551063
473,0.1165572
474,0.1540757
475,0.2004646
476,0.2957175
477,0.07358698
478,0.3018778
479,0.2196181
480,0.08481928
481,0.2511339
482,0.3917196
483,0.2173379
484,0.06467957
485,0.19849
486,0.4338623
487,0.1786529
488,0.3542333
489,0.2864021
490,0.3707284
491,0.1056682
492,0.1328237
493,0.2032572
494,0.04115852
495,0.1853634
496,0.0288351
497,0.2807137
498,0.02457992
499,0.1264918
500,0.2398614
501,0.4003635
502,0.247314
503,0.2798184
504,0.4139608
505,0.3130993
506,0.1907129
507,0.1590323
508,0.07171558
509,-0.006280897
510,0.1007015
511,-0.06530425
512,0.2257741
513,0.2604866
514,0.1646171
515,0.2210345
516,0.06537572
517,0.1602645
518,0.009795111
519,-0.02400138
520,0.2750275
521,0.2237713
522,0.2805575
523,0.2874786
524,0.08889362
525,0.2480887
526,0.05492345
527,0.4140183
528,0.1540512
529,0.1236226
530,0.1370044
531,0.3366716
